SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 09-Apr-2019,38.55,38.35,38.85,38,38.5,38.45,38.32,11264,4.32,318,4403,39.09
21STCENMGM, EQ, 09-Apr-2019,21.5,21.9,21.9,21.9,21.9,21.9,21.9,1185,0.26,12,1185,100
3IINFOTECH, EQ, 09-Apr-2019,3.8,3.85,3.85,3.75,3.75,3.8,3.78,565547,21.39,342,325232,57.51
3MINDIA, EQ, 09-Apr-2019,23877.4,23996.9,23996.9,23140.05,23351,23359.1,23498.02,1936,454.92,1114,1251,64.62
3PLAND, EQ, 09-Apr-2019,11.25,11.45,11.45,10.2,10.75,10.75,11.1,1409,0.16,21,1017,72.18
5PAISA, EQ, 09-Apr-2019,235.1,235,239.9,235,238,238.15,236.94,3781,8.96,229,2441,64.56
63MOONS, EQ, 09-Apr-2019,79.45,79.6,82.4,79.6,80.85,81.2,81.1,119140,96.63,2048,46533,39.06
8KMILES, EQ, 09-Apr-2019,102.35,102.6,103.45,101,101.55,101.65,101.99,105363,107.45,1329,40783,38.71
A2ZINFRA, EQ, 09-Apr-2019,18.75,18.75,19.15,18.5,19,19,18.86,273637,51.61,737,196891,71.95
AAKASH, SM, 09-Apr-2019,20.5,21.5,21.5,21.5,21.5,21.5,21.5,2000,0.43,1,2000,100
AARON, SM, 09-Apr-2019,47,46,46,46,46,46,46,3000,1.38,1,3000,100
AARTIDRUGS, EQ, 09-Apr-2019,628.7,630,639.9,624.9,637,634.6,635.1,8602,54.63,459,5056,58.78
AARTIIND, EQ, 09-Apr-2019,1649.9,1650.2,1650.2,1619.95,1636,1637.05,1628.93,45549,741.96,6124,21263,46.68
AARVEEDEN, EQ, 09-Apr-2019,23.2,23.6,23.6,22.5,23.3,23.3,23.01,2449,0.56,82,1670,68.19
AARVI, SM, 09-Apr-2019,42.8,41.25,41.25,40.7,40.7,40.75,40.83,20000,8.17,9,18000,90
AAVAS, EQ, 09-Apr-2019,1137.15,1145.95,1170.7,1122.2,1133,1136.3,1149.45,13455,154.66,1381,5673,42.16
ABAN, BE, 09-Apr-2019,58.55,59.45,59.8,58,58.65,58.75,59.09,54362,32.12,745, -, -
ABB, EQ, 09-Apr-2019,1396,1391.2,1416,1379.35,1415,1408.35,1400.37,92415,1294.15,7265,24204,26.19
ABBOTINDIA, EQ, 09-Apr-2019,7315.15,7313,7379,7300,7312,7332.3,7339.45,1381,101.36,388,788,57.06
ABCAPITAL, EQ, 09-Apr-2019,97.85,97.95,98.7,96.5,97.05,97,97.29,2111427,2054.26,17764,1004081,47.55
ABFRL, EQ, 09-Apr-2019,215.95,215,220,210,218.6,218.15,214.14,328800,704.08,9358,117143,35.63
ABGSHIP, BZ, 09-Apr-2019,1.6,1.6,1.65,1.55,1.55,1.55,1.56,12554,0.2,51, -, -
